date,temperature,feels_like,rain,description,city
2023-12-16 18:00:00,9.02,5.32,0.0,broken clouds,Den Haag
2023-12-16 21:00:00,9.63,5.78,0.0,overcast clouds,Den Haag
2023-12-17 00:00:00,9.84,6.12,0.0,overcast clouds,Den Haag
2023-12-17 03:00:00,9.53,5.42,0.0,broken clouds,Den Haag
2023-12-17 06:00:00,9.4,5.26,0.0,broken clouds,Den Haag
2023-12-17 09:00:00,9.26,5.2,0.0,scattered clouds,Den Haag
2023-12-12 12:00:00,7.92,5.4,0.13,light rain,Utrecht
2023-12-12 15:00:00,8.81,6.54,1.44,light rain,Utrecht
2023-12-12 18:00:00,8.13,5.62,1.56,light rain,Utrecht
2023-12-12 21:00:00,8.0,5.74,1.38,light rain,Utrecht
2023-12-13 00:00:00,7.58,4.87,0.19,light rain,Utrecht
2023-12-13 03:00:00,8.07,5.16,0.0,overcast clouds,Utrecht
2023-12-13 06:00:00,7.91,5.29,0.0,overcast clouds,Utrecht
2023-12-13 09:00:00,8.02,6.01,0.0,overcast clouds,Utrecht
2023-12-13 12:00:00,8.1,7.15,0.0,overcast clouds,Utrecht
2023-12-13 15:00:00,7.99,7.99,0.0,overcast clouds,Utrecht
2023-12-13 18:00:00,7.5,6.01,0.19,light rain,Utrecht
2023-12-13 21:00:00,7.21,5.28,0.0,overcast clouds,Utrecht
2023-12-14 00:00:00,6.31,3.56,0.0,overcast clouds,Utrecht
2023-12-14 03:00:00,5.6,2.79,0.0,overcast clouds,Utrecht
2023-12-14 06:00:00,5.39,2.48,0.0,overcast clouds,Utrecht
2023-12-14 09:00:00,5.65,3.29,0.0,overcast clouds,Utrecht
2023-12-14 12:00:00,6.3,4.74,0.0,overcast clouds,Utrecht
2023-12-14 15:00:00,6.1,4.47,0.13,light rain,Utrecht
2023-12-14 18:00:00,4.07,1.9,0.0,broken clouds,Utrecht
2023-12-14 21:00:00,4.29,1.82,0.0,broken clouds,Utrecht
2023-12-15 00:00:00,5.67,3.34,0.0,broken clouds,Utrecht
2023-12-15 03:00:00,5.96,3.67,0.13,light rain,Utrecht
2023-12-15 06:00:00,6.53,4.46,0.0,overcast clouds,Utrecht
2023-12-15 09:00:00,6.89,4.94,0.0,overcast clouds,Utrecht
2023-12-15 12:00:00,7.52,5.54,0.0,overcast clouds,Utrecht
2023-12-15 15:00:00,6.68,4.33,0.0,overcast clouds,Utrecht
2023-12-15 18:00:00,4.89,2.05,0.0,broken clouds,Utrecht
2023-12-15 21:00:00,4.41,1.32,0.0,overcast clouds,Utrecht
2023-12-16 00:00:00,4.8,1.07,0.0,broken clouds,Utrecht
2023-12-16 03:00:00,5.32,1.66,0.0,overcast clouds,Utrecht
2023-12-16 06:00:00,6.31,2.79,0.0,overcast clouds,Utrecht
2023-12-16 09:00:00,6.38,2.79,0.0,overcast clouds,Utrecht
2023-12-16 12:00:00,9.27,6.25,0.0,overcast clouds,Utrecht
2023-12-16 15:00:00,8.84,5.84,0.0,overcast clouds,Utrecht
2023-12-16 18:00:00,8.85,5.47,0.0,overcast clouds,Utrecht
2023-12-16 21:00:00,9.2,5.6,0.0,overcast clouds,Utrecht
2023-12-17 00:00:00,9.59,6.15,0.0,overcast clouds,Utrecht
2023-12-17 03:00:00,9.26,5.49,0.0,overcast clouds,Utrecht
2023-12-17 06:00:00,9.05,5.16,0.0,overcast clouds,Utrecht
2023-12-17 09:00:00,9.1,5.33,0.0,broken clouds,Utrecht
